Date;PX_LAST;PX_VOLUME
09.03.2022;162.95;91454905
08.03.2022;157.44;131148280
07.03.2022;159.3;96418845
04.03.2022;163.17;83819592
03.03.2022;166.23;76678441
02.03.2022;166.56;79724750
01.03.2022;163.2;83474425
28.02.2022;165.12;95056629
25.02.2022;164.85;91974222
24.02.2022;162.74;141147540
23.02.2022;160.07;90009247
22.02.2022;164.32;91162758
18.02.2022;167.3;82772674
17.02.2022;168.88;69589344
16.02.2022;172.55;61177398
15.02.2022;172.79;64286320
14.02.2022;168.88;86185530
11.02.2022;168.64;98670687
10.02.2022;172.12;90865899
09.02.2022;176.28;71285038
08.02.2022;174.83;74829217
07.02.2022;171.66;77251204
04.02.2022;172.39;82465400
03.02.2022;172.9;89418074
02.02.2022;175.84;84914256
01.02.2022;174.61;86213911
31.01.2022;174.78;115541590
28.01.2022;170.33;179935660
27.01.2022;159.22;121954638
26.01.2022;159.69;108275308
25.01.2022;159.78;115798367
24.01.2022;161.62;162706686
21.01.2022;162.41;122848858
20.01.2022;164.51;91420515
19.01.2022;166.23;94814990
18.01.2022;169.8;91168729
14.01.2022;173.07;80440780
13.01.2022;172.19;84505760
12.01.2022;175.53;74805173
11.01.2022;175.08;76138312
10.01.2022;172.19;106765552
07.01.2022;172.17;86709147
06.01.2022;172;96903955
05.01.2022;174.92;94537602
04.01.2022;179.7;99310438
03.01.2022;182.01;104701220
31.12.2021;177.57;64062261
30.12.2021;178.2;59773014
29.12.2021;179.38;62348931
28.12.2021;179.29;79144339
27.12.2021;180.33;74919582
23.12.2021;176.28;68356567
22.12.2021;175.64;92135303
21.12.2021;172.99;91185905
20.12.2021;169.75;107499114
17.12.2021;171.14;195923441
16.12.2021;172.26;150185843
15.12.2021;179.3;131063257
14.12.2021;174.33;139380382
13.12.2021;175.74;153237019
10.12.2021;179.45;115402731
09.12.2021;174.56;108923739
08.12.2021;175.08;116998901
07.12.2021;171.18;120405352
06.12.2021;165.32;107496982
03.12.2021;161.84;118023116
02.12.2021;163.76;136739174
01.12.2021;164.77;152423003
30.11.2021;165.3;174048056
29.11.2021;160.24;88748217
26.11.2021;156.81;76959752
24.11.2021;161.94;69463623
23.11.2021;161.41;96041899
22.11.2021;161.02;117467889
19.11.2021;160.55;117305597
18.11.2021;157.87;137827673
17.11.2021;153.49;88807000
16.11.2021;151;59256210
15.11.2021;150;59222803
12.11.2021;149.99;63804008
11.11.2021;147.87;40999950
10.11.2021;147.92;65187092
09.11.2021;150.81;56787930
08.11.2021;150.44;55020868
05.11.2021;151.28;65463883
04.11.2021;150.96;60394616
03.11.2021;151.49;54511534
02.11.2021;150.02;69121987
01.11.2021;148.96;74588258
29.10.2021;149.8;124953168
28.10.2021;152.57;100077888
27.10.2021;148.85;56094929
26.10.2021;149.32;60893395
25.10.2021;148.64;50720556
22.10.2021;148.69;58883443
21.10.2021;149.48;61420990
20.10.2021;149.26;58418788
19.10.2021;148.76;76378894
18.10.2021;146.55;85589175
15.10.2021;144.84;67940334
14.10.2021;143.76;69907100
13.10.2021;140.91;78762721
12.10.2021;141.51;73035859
11.10.2021;142.81;64452219
08.10.2021;142.9;58773155
07.10.2021;143.29;61732656
06.10.2021;142;83221119
05.10.2021;141.11;80861062
04.10.2021;139.14;98322008
01.10.2021;142.65;94639581
30.09.2021;141.5;89056664
29.09.2021;142.83;74602044
28.09.2021;141.91;108972340
27.09.2021;145.37;74150729
24.09.2021;146.92;53477869
23.09.2021;146.83;64838170
22.09.2021;145.85;76404341
21.09.2021;143.43;75833962
20.09.2021;142.94;123478863
17.09.2021;146.06;129868824
16.09.2021;148.79;68034149
15.09.2021;149.03;83281315
14.09.2021;148.12;109296295
13.09.2021;149.55;102404329
10.09.2021;148.97;140893235
09.09.2021;154.07;57305730
08.09.2021;155.11;74420207
07.09.2021;156.69;82278261
03.09.2021;154.3;57866066
02.09.2021;153.65;71171317
01.09.2021;152.51;80313711
31.08.2021;151.83;86453117
30.08.2021;153.12;90956723
27.08.2021;148.6;55802388
26.08.2021;147.54;48597195
25.08.2021;148.36;58991297
24.08.2021;149.62;48606428
23.08.2021;149.71;60131810
20.08.2021;148.19;60549630
19.08.2021;146.7;86960310
18.08.2021;146.36;86325990
17.08.2021;150.19;92229735
16.08.2021;151.12;103558782
13.08.2021;149.1;59375009
12.08.2021;148.89;73779113
11.08.2021;145.86;48493463
10.08.2021;145.6;69023081
09.08.2021;146.09;48908689
06.08.2021;146.14;54126813
05.08.2021;147.06;46397674
04.08.2021;146.95;56368271
03.08.2021;147.36;64786618
02.08.2021;145.52;62879961
30.07.2021;145.86;70440626
29.07.2021;145.64;56699475
28.07.2021;144.98;118931191
27.07.2021;146.77;104818578
26.07.2021;148.99;72434089
23.07.2021;148.56;71447416
22.07.2021;146.8;77338156
21.07.2021;145.4;74993460
20.07.2021;146.15;96350036
19.07.2021;142.45;121434571
16.07.2021;146.39;93251426
15.07.2021;148.48;106820297
14.07.2021;149.15;127050785
13.07.2021;145.64;100827099
12.07.2021;144.5;76299719
09.07.2021;145.11;99890800
08.07.2021;143.24;105575458
07.07.2021;144.57;104911589
06.07.2021;142.02;108181793
02.07.2021;139.96;78945572
01.07.2021;137.27;52485781
30.06.2021;136.96;63261393
29.06.2021;136.33;64556081
28.06.2021;134.78;62111303
25.06.2021;133.11;70783746
24.06.2021;133.41;68710998
23.06.2021;133.7;60214200
22.06.2021;133.98;74783618
21.06.2021;132.3;79663316
18.06.2021;130.46;108953309
17.06.2021;131.79;96721669
16.06.2021;130.15;91815026
15.06.2021;129.64;62746332
14.06.2021;130.48;96906490
11.06.2021;127.35;53522373
10.06.2021;126.11;71186421
09.06.2021;127.13;56877937
08.06.2021;126.74;74403774
07.06.2021;125.9;71057550
04.06.2021;125.89;75169343
03.06.2021;123.54;76229170
02.06.2021;125.06;59278862
01.06.2021;124.28;67637118
28.05.2021;124.61;71311109
27.05.2021;125.28;94625601
26.05.2021;126.85;56575920
25.05.2021;126.9;72009482
24.05.2021;127.1;63092945
21.05.2021;125.43;79295436
20.05.2021;127.31;76857123
19.05.2021;124.69;92611989
18.05.2021;124.85;63342929
17.05.2021;126.27;74244624
14.05.2021;127.45;81917951
13.05.2021;124.97;105861339
12.05.2021;122.77;112172282
11.05.2021;125.91;126142826
10.05.2021;126.85;88071229
07.05.2021;130.21;78973273
06.05.2021;129.74;78128334
05.05.2021;128.1;84000900
04.05.2021;127.85;137564718
03.05.2021;132.54;75135100
30.04.2021;131.46;109839466
29.04.2021;133.48;151100953
28.04.2021;133.58;107760097
27.04.2021;134.39;66015804
26.04.2021;134.72;66905069
23.04.2021;134.32;78756779
22.04.2021;131.94;84566456
